Feature,Label
Accident_Index,1
Location_Easting_OSGR,2
Location_Northing_OSGR,3
Longitude,4
Latitude,5
Police_Force,6
Accident_Severity,7
Number_of_Vehicles,8
Number_of_Casualties,9
Date,10
Day_of_Week,11
Time,12
Local_Authority_(District),13
Local_Authority_(Highway),14
1st_Road_Class,15
1st_Road_Number,16
Road_Type,17
Speed_limit,18
Junction_Detail,19
Junction_Control,20
2nd_Road_Class,21
2nd_Road_Number,22
Pedestrian_Crossing-Human_Control,23
Pedestrian_Crossing-Physical_Facilities,24
Light_Conditions,25
Weather_Conditions,26
Road_Surface_Conditions,27
Special_Conditions_at_Site,28
Carriageway_Hazards,29
Urban_or_Rural_Area,30
Did_Police_Officer_Attend_Scene_of_Accident,31
LSOA_of_Accident_Location,32
